User_ID,Age,Country,Subscription_Type,Signup_Date,Watch_Hours,Churn_Status
U100317,33,United Kingdom,Premium,2025-07-29,0.0,Active
U100318,33,South Korea,Standard,2025-10-24,14.64,Active
U100319,28,India,Mobile,2023-03-23,46.14,Active
U100320,23,Germany,Mobile,2024-02-07,49.29,Active
U100321,29,Brazil,Standard,2024-04-12,115.18,Active
U100322,28,Germany,Standard,2023-07-26,2.31,Active
U100323,26,India,Standard,2025-11-24,28.78,Churned
U100324,37,Japan,Premium,2025-10-08,32.59,Active
U100325,60,United States,Premium,2022-12-04,65.9,Active
U100326,49,Germany,Premium,2024-03-13,24.77,Active
U100327,57,France,Standard,2022-10-19,14.54,Active
U100328,27,India,Premium,2022-05-08,29.65,Churned
U100329,54,United Kingdom,Standard,2025-05-28,33.41,Active
U100330,36,Germany,Premium,2025-06-18,52.11,Active
U100331,45,United Kingdom,Basic,2022-01-20,20.62,Active
U100332,39,Brazil,Premium,2024-03-04,45.1,Active
U100333,29,Canada,Mobile,2022-09-12,67.07,Active
U100334,42,South Korea,Basic,2024-04-02,14.13,Active
U100335,39,Brazil,Premium,2023-04-23,31.94,Active
U100336,16,United States,Basic,2024-02-19,47.58,Active
U100337,32,United States,Premium,2024-12-13,42.73,Active
U100338,44,Canada,Basic,2022-05-04,47.03,Active
U100339,37,Brazil,Mobile,2023-12-03,16.99,Active
U100340,39,United States,Basic,2023-05-15,12.89,Churned
U100341,24,South Korea,Mobile,2023-07-29,18.1,Churned
U100342,37,Germany,Premium,2025-09-20,94.34,Active
U100343,32,Brazil,Standard,2025-09-03,73.33,Churned
U100344,31,India,Premium,2024-08-10,63.86,Active
U100345,25,Mexico,Premium,2025-01-08,31.61,Churned
U100346,44,Australia,Mobile,2023-07-18,20.02,Active
U100347,38,Australia,Basic,2024-07-12,26.07,Active
U100348,36,United States,Standard,2023-11-19,42.73,Active
U100349,58,Germany,Basic,2023-05-12,59.58,Active
U100350,39,Mexico,Premium,2025-03-01,7.97,Active
U100351,48,Mexico,Basic,2025-06-07,29.39,Active
U100352,37,India,Standard,2023-05-29,67.77,Active
U100353,29,India,Standard,2023-01-05,27.49,Active
U100354,21,Germany,Standard,2023-08-10,25.06,Active
U100355,36,United States,Standard,2025-10-13,18.46,Active
U100356,16,United States,Premium,2025-01-31,68.0,Active
U100357,37,Brazil,Premium,2023-01-16,39.03,Active
U100358,37,India,Standard,2024-06-24,116.58,Active
U100359,31,South Korea,Standard,2025-04-12,29.56,Active
U100360,32,United Kingdom,Mobile,2023-06-06,73.14,Active
U100361,18,India,Basic,2025-08-27,68.13,Active
U100362,50,France,Basic,2025-09-26,2.02,Churned
U100363,29,Germany,Basic,2022-11-27,15.36,Active
U100364,22,Mexico,Premium,2024-05-29,91.24,Active
U100365,40,India,Standard,2022-12-01,12.93,Active
U100366,35,Japan,Premium,2024-09-06,41.03,Active
U100367,29,Brazil,Premium,2022-04-25,20.67,Active
U100368,28,Mexico,Standard,2024-07-24,66.02,Active
U100369,33,India,Mobile,2023-05-14,68.0,Active
U100370,50,Germany,Premium,2024-01-17,105.56,Active
U100371,39,India,Basic,2024-01-01,37.3,Churned
U100372,33,France,Standard,2025-12-22,49.05,Active
U100373,44,United States,Standard,2022-05-06,125.51,Active
U100374,34,Brazil,Basic,2024-04-29,25.2,Active
U100375,38,South Korea,Basic,2022-08-02,34.1,Active
U100376,35,United States,Mobile,2024-08-04,1.49,Churned
U100377,41,India,Standard,2023-09-09,0.85,Churned
U100378,28,Brazil,Standard,2022-08-31,71.66,Active
U100379,20,United Kingdom,Premium,2022-09-21,189.73,Active
U100380,44,United Kingdom,Standard,2022-06-30,50.38,Churned
U100381,52,India,Mobile,2025-02-03,18.39,Active
U100382,20,Canada,Premium,2025-08-25,126.16,Active
U100383,36,Canada,Standard,2023-04-16,73.78,Active
U100384,28,South Korea,Standard,2023-07-12,51.44,Active
U100385,44,United Kingdom,Mobile,2022-03-09,47.77,Active
U100386,36,Brazil,Premium,2022-09-02,54.25,Active
U100387,73,South Korea,Mobile,2022-08-14,47.28,Active
U100388,30,Spain,Basic,2025-10-15,6.55,Active
U100389,52,United States,Premium,2023-03-25,54.74,Active
U100390,53,Canada,Premium,2025-02-18,42.56,Active
U100391,40,Japan,Basic,2022-08-01,1.01,Active
U100392,34,Japan,Standard,2022-09-19,48.61,Active
U100393,35,India,Premium,2022-11-11,77.2,Active
U100394,34,Canada,Basic,2022-10-08,78.74,Active
U100395,47,United Kingdom,Standard,2022-10-29,17.39,Active
U100396,23,United States,Premium,2023-02-26,47.04,Active
U100397,32,Brazil,Standard,2023-09-04,47.56,Active
U100398,30,France,Standard,2022-09-26,29.37,Active
U100399,16,South Korea,Standard,2024-02-05,6.92,Active
U100400,44,India,Standard,2023-06-17,14.42,Active
U100401,46,United States,Mobile,2024-06-27,38.81,Active
U100402,26,South Korea,Premium,2024-04-29,56.7,Active
U100403,46,France,Basic,2025-08-20,21.68,Active
U100404,16,Germany,Mobile,2024-06-24,15.99,Active
U100405,34,Japan,Mobile,2024-10-01,15.99,Active
U100406,32,United States,Standard,2025-05-07,31.99,Active
U100407,35,India,Premium,2022-10-17,47.74,Active
U100408,34,Brazil,Basic,2025-06-28,92.76,Active
U100409,33,Germany,Mobile,2023-10-18,73.32,Active
U100410,29,Germany,Premium,2024-08-24,52.69,Active
U100411,32,United States,Premium,2024-12-01,19.33,Churned
U100412,50,India,Basic,2022-11-10,34.2,Active
U100413,27,United States,Mobile,2024-03-21,15.2,Active
U100414,61,Australia,Basic,2023-02-21,18.56,Active
U100415,26,United States,Basic,2022-09-05,57.97,Active
U100416,36,South Korea,Basic,2025-07-10,20.92,Active
U100417,40,United States,Premium,2025-02-23,64.27,Active
U100418,30,United States,Basic,2022-09-28,28.72,Active
U100419,50,United States,Mobile,2022-10-15,46.74,Active
U100420,40,Brazil,Premium,2022-05-07,46.75,Active
U100421,31,United States,Basic,2023-05-18,68.21,Active
U100422,50,United Kingdom,Basic,2022-12-19,6.56,Churned
U100423,21,Japan,Basic,2024-12-07,49.94,Active
U100424,27,Australia,Premium,2023-08-14,39.14,Active
U100425,40,Canada,Premium,2025-11-16,55.98,Active
U100426,43,Brazil,Basic,2024-03-29,57.03,Active
U100427,37,United States,Premium,2025-07-23,37.32,Active
U100428,32,South Korea,Basic,2022-05-20,41.06,Active
U100429,30,Brazil,Premium,2025-11-16,21.46,Active
U100430,47,Canada,Mobile,2023-04-20,59.81,Active
U100431,36,France,Premium,2023-08-03,112.02,Active
U100432,23,United States,Premium,2024-05-21,52.13,Active
U100433,22,United Kingdom,Premium,2023-09-29,129.59,Active
U100434,52,India,Basic,2023-04-05,68.08,Active
U100435,25,Brazil,Basic,2022-08-26,8.44,Active
U100436,37,Brazil,Basic,2023-09-05,39.6,Active
U100437,50,Mexico,Standard,2023-11-22,56.21,Churned
U100438,40,United Kingdom,Premium,2022-07-08,37.81,Active
U100439,24,Brazil,Premium,2025-02-13,74.15,Active
U100440,21,United States,Premium,2022-09-19,53.63,Churned
U100441,56,India,Basic,2022-04-11,25.56,Active
U100442,21,Japan,Premium,2023-04-15,82.89,Active
U100443,27,United States,Basic,2023-04-11,119.07,Active
U100444,38,Germany,Basic,2023-03-13,20.43,Active
U100445,31,Canada,Premium,2025-09-13,85.95,Active
U100446,40,Canada,Mobile,2024-05-21,1.62,Churned
U100447,16,India,Premium,2022-09-24,34.14,Active
U100448,31,Brazil,Basic,2024-01-27,16.35,Active
U100449,42,Australia,Premium,2023-03-10,1.83,Active
U100450,42,India,Basic,2025-10-19,90.62,Active
U100451,27,India,Mobile,2025-09-27,44.45,Active
U100452,21,United Kingdom,Premium,2024-05-05,39.43,Active
U100453,36,Germany,Basic,2023-05-19,3.09,Churned
U100454,18,Germany,Basic,2022-07-14,4.18,Active
U100455,49,France,Basic,2025-04-28,59.37,Active
U100456,35,Canada,Mobile,2022-02-05,50.58,Active
U100457,25,Spain,Standard,2023-02-24,0.0,Active
U100458,21,Spain,Premium,2024-03-10,48.33,Active
U100459,26,India,Premium,2023-01-11,13.9,Active
U100460,16,India,Standard,2024-11-25,16.88,Churned
U100461,39,Australia,Basic,2022-10-01,25.24,Active
U100462,24,Mexico,Mobile,2025-05-29,15.32,Active
U100463,38,South Korea,Standard,2022-04-02,55.12,Churned
U100464,40,India,Standard,2023-05-02,55.3,Active
U100465,45,India,Premium,2023-08-30,22.79,Active
U100466,37,Spain,Premium,2025-12-09,67.15,Active
U100467,47,India,Mobile,2024-11-07,78.32,Active
U100468,50,Mexico,Basic,2025-12-16,12.96,Active
U100469,37,United Kingdom,Standard,2024-01-08,86.87,Active
U100470,37,Mexico,Standard,2025-10-01,18.46,Active
U100471,27,United States,Standard,2023-08-18,36.14,Active
U100472,22,Spain,Basic,2022-02-11,15.11,Active
U100473,49,Germany,Basic,2022-10-26,14.39,Churned
U100474,41,Canada,Basic,2023-07-02,10.8,Churned
U100475,42,United States,Standard,2024-09-24,38.18,Active
U100476,26,India,Standard,2022-11-03,22.36,Churned
U100477,53,United States,Premium,2023-01-05,32.51,Active
U100478,31,Canada,Premium,2024-08-12,47.72,Active
U100479,24,India,Standard,2022-02-16,19.89,Churned
U100480,27,South Korea,Standard,2025-07-13,9.48,Churned
U100481,52,India,Basic,2025-11-09,64.38,Active
U100482,20,South Korea,Standard,2025-03-26,14.33,Active
U100483,24,United States,Standard,2025-10-08,46.25,Active
U100484,68,Mexico,Basic,2022-08-28,18.95,Churned
U100485,45,United States,Standard,2022-11-10,13.23,Churned
U100486,25,Mexico,Standard,2025-06-19,41.69,Active
U100487,21,Germany,Basic,2022-12-15,22.24,Active
U100488,16,United States,Standard,2024-10-24,21.16,Churned
U100489,35,France,Standard,2024-04-26,43.01,Active
U100490,42,United States,Premium,2023-03-10,44.05,Active
U100491,52,Japan,Premium,2023-09-17,56.13,Active
U100492,16,Germany,Premium,2023-10-15,15.04,Churned
U100493,18,Australia,Standard,2025-07-20,18.3,Active
