Device_ID,User_ID,Device_Type,OS,Last_Active_Date
D300488,U123334,Mobile,WebOS,2025-07-26
D300490,U111875,Mobile,WebOS,2025-07-19
D300491,U122842,Desktop,iOS,2025-10-08
D300492,U103057,Mobile,Windows,2025-08-12
D300493,U100622,Mobile,PlayStation,2025-11-04
D300494,U115941,Smart TV,Windows,2025-07-14
D300495,U122657,Smart TV,iOS,2025-09-02
D300496,U111924,Desktop,macOS,2025-09-12
D300497,U108478,Mobile,WebOS,2025-08-26
D300498,U106006,Smart TV,WebOS,2025-11-16
D300499,U103879,Tablet,macOS,2025-11-24
D300500,U122488,Smart TV,PlayStation,2025-10-24
D300501,U104358,Mobile,WebOS,2025-05-11
D300502,U101293,Tablet,iOS,2025-06-30
D300503,U105720,Smart TV,Android,2025-08-28
D300504,U118512,Smart TV,Windows,2025-09-06
D300505,U110975,Smart TV,WebOS,2025-11-29
D300506,U112311,Mobile,WebOS,2025-05-15
D300507,U104514,Tablet,Windows,2025-06-16
D300508,U114464,Smart TV,macOS,2025-09-16
D300509,U111454,Desktop,macOS,2025-07-16
D300510,U106250,Game Console,macOS,2025-11-13
D300511,U105205,Smart TV,macOS,2025-11-28
D300512,U122626,Desktop,WebOS,2025-10-03
D300513,U119639,Mobile,iOS,2025-06-27
D300514,U112537,Tablet,Xbox,2025-06-12
D300515,U122583,Mobile,Xbox,2025-11-13
D300516,U104958,Desktop,macOS,2025-08-17
D300517,U122586,Mobile,Android,2025-07-14
D300518,U109189,Mobile,macOS,2025-08-07
D300519,U113729,Smart TV,Tizen,2025-08-31
D300520,U116312,Smart TV,iOS,2025-07-24
D300521,U116958,Smart TV,WebOS,2025-07-06
D300522,U114563,Smart TV,Tizen,2025-07-27
D300523,U102190,Smart TV,WebOS,2025-09-19
D300524,U120036,Desktop,Tizen,2025-12-16
D300525,U112742,Mobile,PlayStation,2025-08-03
D300526,U110691,Smart TV,WebOS,2025-07-29
D300527,U103991,Desktop,macOS,2025-08-25
D300528,U116827,Mobile,WebOS,2025-08-03
D300529,U117623,Desktop,Windows,2025-11-22
D300530,U118598,Desktop,Xbox,2025-07-09
D300531,U119319,Mobile,Tizen,2025-06-13
D300532,U113052,Desktop,Android,2025-12-22
D300533,U107308,Mobile,macOS,2025-09-27
D300534,U109402,Tablet,iOS,2025-05-30
D300535,U123705,Smart TV,Xbox,2025-05-18
D300536,U109185,Tablet,Android,2025-05-28
D300537,U118494,Mobile,Windows,2025-08-10
D300538,U105403,Mobile,PlayStation,2025-05-27
D300539,U108554,Mobile,iOS,2025-10-20
D300540,U111816,Game Console,iOS,2025-10-06
D300541,U120180,Mobile,Windows,2025-11-24
D300542,U110457,Smart TV,iOS,2025-09-28
D300543,U105471,Tablet,PlayStation,2025-06-07
D300544,U114468,Mobile,macOS,2025-11-25
D300545,U120829,Smart TV,Windows,2025-08-22
D300546,U119806,Smart TV,Android,2025-11-29
D300547,U118140,Mobile,Windows,2025-05-17
D300548,U102208,Game Console,PlayStation,2025-11-09
D300549,U116578,Mobile,Xbox,2025-10-18
D300550,U117450,Mobile,Android,2025-05-11
D300551,U111534,Desktop,WebOS,2025-06-17
D300552,U104027,Desktop,WebOS,2025-05-18
D300553,U119113,Tablet,PlayStation,2025-07-02
D300554,U116366,Mobile,WebOS,2025-12-16
D300555,U118873,Desktop,PlayStation,2025-09-07
D300556,U117177,Desktop,iOS,2025-11-28
D300557,U105837,Mobile,Android,2025-08-05
D300558,U120475,Desktop,WebOS,2025-11-28
D300559,U113868,Game Console,Xbox,2025-10-14
D300560,U122348,Tablet,Xbox,2025-08-23
D300561,U113515,Mobile,PlayStation,2025-09-16
D300562,U111029,Smart TV,Android,2025-12-25
D300563,U121444,Mobile,WebOS,2025-10-23
